common_name,scientific_name,migrant,s_lci,s_med,s_uci,m_lci,m_med,m_uci,w_lci,w_med,w_uci,s_m_mig,m_w_mig,w_s_mig,hwi,mass,diet,precip_mean,precip_lq,precip_med,precip_hq,precip_breadth,temp_mean,temp_lq,temp_med,temp_hq,temp_breadth,wind_mean,wind_lq,wind_med,wind_hq,wind_breadth,s_mig,m_mig,w_mig,s_migrant,m_migrant,w_migrant,m_dist_abs,w_dist_abs,s_dist_abs
Indian Roller,Coracias_benghalensis,migrant,427.485,437.21,469.315,407.12,413.94,424.62,408.41,420.78,424.62,-23.27,6.83999999999998,16.43,29,157.5,Omnivore,118.63,0.28,64.51,603.2,602.92,25.76,21.05,25.75,30.45,9.4,2.99,1.03,2.72,6.36,5.34,16.43,-23.27,0,1,1,0,23.27,6.83999999999998,16.43
Malabar Barbet,Psilopogon_malabaricus,migrant,876.03,895.25,907.45,861.86,870.56,873.79,856.88,861.62,869.65,-24.6900000000001,-8.93999999999994,33.63,29,37.6,Frugivore,220.66,0.96,155.88,936.15,935.19,23.11,19.55,22.65,27.95,8.4,2.32,0.83,2.1,5.18,4.35,33.63,-24.6900000000001,0,1,1,0,24.6900000000001,8.93999999999994,33.63
Coppersmith Barbet,Psilopogon_haemacephalus,migrant,619.465,640.59,640.59,588.71,609.37,617.25,570.03,587.48,589.17,-31.22,-21.89,53.11,25.1,44.5,Frugivore,132.79,0.09,71.09,666.86,666.77,24.93,19.65,24.95,29.85,10.2,2.94,1.04,2.74,5.83,4.78,53.11,-31.22,0,1,1,0,31.22,21.89,53.11
Brown-headed Barbet,Psilopogon_zeylanicus,migrant,463.76,463.76,471.56,457.27,463.76,471.56,347.6,399.905,449.485,0,-63.855,63.855,18,119,Frugivore,181.12,0.02,70.17,1312.02,1312,25.58,21.25,25.65,29.55,8.3,2.65,1.03,2.44,5.28,4.25,63.855,0,-63.855,1,0,1,0,63.855,63.855
White-cheeked Barbet,Psilopogon_viridis,migrant,851.89,860.6,872.21,767.88,786.09,808.29,808.29,808.29,814.65,-74.51,22.1999999999999,52.3100000000001,20.7,80.5,Frugivore,205.97,1.01,138.87,863.18,862.17,23.43,16.75,23.25,28.75,12,2.51,0.86,2.27,5.64,4.77,52.3100000000001,-74.51,0,1,1,0,74.51,22.1999999999999,52.3100000000001
Speckled Piculet,Picumnus_innominatus,non-migrant,811.575,868.2,984.446749999995,767.55,882.56,1017,834.57,931.06,1024.09,14.3599999999999,48.5,-62.8599999999999,10.7,10.2,Invertivore,209.75,0.34,128.49,997.35,997.01,22.37,15.95,22.35,27.95,12,2.52,0.86,2.25,5.64,4.78,0,0,0,0,0,0,14.3599999999999,48.5,62.8599999999999
Heart-spotted Woodpecker,Hemicircus_canente,non-migrant,276.47,464.12,579.09,276.91,365.29,471.145,430.88,491.84,549.61,-98.83,126.55,-27.72,12.7,43,Invertivore,240.18,0.74,155.84,1086.09,1085.35,24.71,20.25,25.05,28.85,8.6,2.15,0.76,1.92,4.92,4.16,0,0,0,0,0,0,98.83,126.55,27.72
Brown-capped Pygmy Woodpecker,Yungipicus_nanus,non-migrant,640.59,749.32,800.74,509.603125,594.0425,640.59,589.17,640.59,640.59,-155.2775,46.5475,108.73,27.4,16.2,Invertivore,179.99,0.76,108.89,800.97,800.21,24.43,19.45,24.45,29.45,10,2.45,0.82,2.28,5.24,4.43,0,0,0,0,0,0,155.2775,46.5475,108.73
Yellow-crowned Woodpecker,Leiopicus_mahrattensis,non-migrant,640.59,718.64,834.755,558.03,636.24,692,640.59,686.555,728.42,-82.4,50.3149999999999,32.085,24.7,34.3,Invertivore,128.4,0.03,71.72,607.38,607.35,24.67,19.85,24.55,29.85,10,2.71,0.75,2.52,5.51,4.75,0,0,0,0,0,0,82.4,50.3149999999999,32.085
Greater Flameback,Chrysocolaptes_guttacristatus,non-migrant,755.76475,801.83,832.04,693.54,740.31,775.49,742.325,762.66,785.34,-61.5200000000001,22.35,39.1700000000001,22.3,166,Invertivore,221.53,1.02,146.12,981.8,980.78,23.68,17.05,23.65,28.75,11.7,2.38,0.81,2.13,5.41,4.6,0,0,0,0,0,0,61.5200000000001,22.35,39.1700000000001
White-naped Woodpecker,Chrysocolaptes_festivus,non-migrant,450.185,640.59,892.145,345.91,460.12,640.59,376.91,640.59,848.47,-180.47,180.47,0,26.1,213,Invertivore,134.09,0.01,56.58,976.34,976.33,25.11,20.65,25.15,30.35,9.7,2.71,0.71,2.56,5.53,4.82,0,0,0,0,0,0,180.47,180.47,0
Rufous Woodpecker,Micropternus_brachyurus,non-migrant,576.36,640.59,744.69,630.89,740.31,772.56,589.17,655.935,754.47,99.7199999999999,-84.375,-15.3449999999999,17.9,85.9,Invertivore,218.99,0.49,120.85,1096.11,1095.62,24.3,20.05,24.25,29.05,9,2.44,0.94,2.23,5.12,4.18,0,0,0,0,0,0,99.7199999999999,84.375,15.3449999999999
Common Flameback,Dinopium_javanense,non-migrant,829.21,888.74,965.91,870.14,902.78,960.335,830.085,888.275,932.35,14.04,-14.505,0.465000000000032,21,72.8,Invertivore,206.57,1.32,146.46,844.93,843.61,23.06,19.15,22.65,28.15,9,2.42,0.84,2.17,5.34,4.5,0,0,0,0,0,0,14.04,14.505,0.465000000000032
Black-rumped Flameback,Dinopium_benghalense,migrant,440.185,475.12,520.995,406.62,422.78,438.33,424.62,425.32,458.815,-52.34,2.54000000000002,49.8,20.7,100,Invertivore,188.54,0.74,111.3,864.52,863.78,24.89,20.15,25.25,29.65,9.5,2.47,0.85,2.24,5.57,4.72,0,-52.34,0,0,1,0,52.34,2.54000000000002,49.8
Lesser Yellownape,Picus_chlorolophus,non-migrant,432.485,530.82,589.17,414.26,512.925,601.26,353.78,458.09,530.82,-17.8950000000001,-54.835,72.7300000000001,23.8,65.4,Invertivore,211.91,0.92,130.77,972.7,971.78,24.56,19.05,24.95,29.25,10.2,2.41,0.8,2.19,5.36,4.57,0,0,0,0,0,0,17.8950000000001,54.835,72.7300000000001
Streak-throated Woodpecker,Picus_xanthopygaeus,migrant,1108.76,1132.06,1134.19,1132.06,1132.06,1141.095,1079.67,1105.645,1131.61,0,-26.415,26.415,22.4,99.7,Invertivore,184.68,1.84,142.9,587.94,586.1,22.16,15.55,21.65,28.65,13.1,2.29,0.85,2.11,4.95,4.11,0,0,-26.415,0,0,1,0,26.415,26.415
White-bellied Woodpecker,Dryocopus_javensis,non-migrant,639.11,727.965,796.34,647.09,681.97,810.26,710.455,816.445,846.485,-45.995,134.475,-88.48,22,271.4,Invertivore,235.98,0.51,140.31,1135.52,1135.01,23.71,19.85,23.45,28.35,8.5,2.3,0.78,2.08,5.15,4.37,0,0,0,0,0,0,45.995,134.475,88.48
Alexandrine Parakeet,Psittacula_eupatria,non-migrant,612.31,632.94,649.64,604.19,612.31,612.31,612.31,612.31,612.31,-20.6300000000001,0,20.6300000000001,53.4,214,Omnivore,114.09,0,20.73,633.45,633.45,24.63,20.35,24.35,29.75,9.4,2.63,1.42,2.33,4.86,3.44,0,0,0,0,0,0,20.6300000000001,0,20.6300000000001
Rose-ringed Parakeet,Psittacula_krameri,migrant,414.26,423.71,425.32,423.65,425.32,448.09,437.21,456.97,463.76,1.61000000000001,31.65,-33.2600000000001,47.7,116.1,Omnivore,128.55,0.08,62.99,679.9,679.82,25.45,19.55,25.65,30.15,10.6,2.91,1.02,2.65,6.11,5.08,-33.2600000000001,0,0,1,0,0,1.61000000000001,31.65,33.2600000000001
Plum-headed Parakeet,Psittacula_cyanocephala,migrant,812.721625,836.55,855.66,747.215,788.165,835.84,728.42,746.94,765.225,-48.385,-41.2249999999999,89.6099999999999,50.8,66,Frugivore,186.06,0.39,119.73,763.5,763.11,23.96,19.75,23.65,29.25,9.5,2.47,0.85,2.28,5.37,4.52,89.6099999999999,0,0,1,0,0,48.385,41.2249999999999,89.6099999999999
Malabar Parakeet,Psittacula_columboides,non-migrant,817.14,830.34,842.075,811.38,832.34,846.03,836.17,848.97,856.18,2,16.63,-18.63,46.6,87,Omnivore,193.49,1.03,128.56,834.06,833.03,23.64,19.15,23.45,28.45,9.3,2.52,0.81,2.3,5.6,4.79,0,0,0,0,0,0,2,16.63,18.63
Vernal Hanging-Parrot,Loriculus_vernalis,non-migrant,770.94,799.64,808.65,776.21,799.015,810.914499999999,761.59,770.51,787.645,-0.625,-28.505,29.13,45.6,35.7,Frugivore,212.73,0.99,140.36,914.37,913.38,23.78,18.65,23.65,28.85,10.2,2.35,0.81,2.11,5.35,4.54,0,0,0,0,0,0,0.625,28.505,29.13
Small Minivet,Pericrocotus_cinnamomeus,non-migrant,640.795,685.84,718.64,640.59,640.59,654.29,640.59,640.59,675.68475,-45.25,0,45.25,25.9,8.6,Invertivore,169.54,0.07,84.4,897.77,897.7,24.46,20.05,24.35,29.35,9.3,2.58,0.85,2.39,5.34,4.49,0,0,0,0,0,0,45.25,0,45.25
Orange Minivet,Pericrocotus_flammeus,non-migrant,803.08,812.88,830.97,774.94,792.575,808.29,808.29,808.29,822.77,-20.305,15.7149999999999,4.59000000000003,27.2,23.3,Invertivore,216.17,0.98,143.63,934.93,933.95,23.42,18.15,23.15,28.35,10.2,2.37,0.81,2.15,5.29,4.48,0,0,0,0,0,0,20.305,15.7149999999999,4.59000000000003
Large Cuckooshrike,Coracina_macei,non-migrant,145.205,254.5,450.26,155.64,194.84,357.85,171.71,277.94,376.91,-59.66,83.1,-23.44,31,105,Invertivore,169.14,0.44,91.86,846.29,845.85,25.54,20.35,25.85,30.05,9.7,2.67,0.89,2.5,5.64,4.74,0,0,0,0,0,0,59.66,83.1,23.44
Black-headed Cuckooshrike,Lalage_melanoptera,migrant,482.49,586.56,640.59,600,640.59,643.35,485.7,549.8,589.17,54.0300000000001,-90.7900000000001,36.76,27,29.4,Invertivore,159.32,0.29,83.4,832.05,831.76,24.83,19.95,24.85,29.65,9.7,2.69,0.89,2.48,5.66,4.76,0,0,-90.7900000000001,0,0,1,54.0300000000001,90.7900000000001,36.76
Black-naped Oriole,Oriolus_chinensis,non-migrant,89.58,119.12,196.375,124.5,188.91,753.17,160.15,181.74,375.38,69.79,-7.16999999999999,-62.62,29.1,82.6,Frugivore,237.92,0.77,140.65,1126.44,1125.67,25.15,20.25,25.65,29.35,9.1,2.23,0.8,1.96,5.22,4.43,0,0,0,0,0,0,69.79,7.16999999999999,62.62
Black-hooded Oriole,Oriolus_xanthornus,non-migrant,111.38,116.62,129.88,116.62,122.41,125.61,118.62,124.43,129.55,5.78999999999999,2.02000000000001,-7.81,27.4,56.3,Frugivore,208.65,0.33,110.06,1084.08,1083.75,26.12,21.25,26.25,29.95,8.7,2.49,0.85,2.27,5.52,4.67,0,0,0,0,0,0,5.78999999999999,2.02000000000001,7.81
Ashy Woodswallow,Artamus_fuscus,migrant,488.44,580.18,703.76,447.11,504.53,594.26,330.44,420.78,424.62,-75.65,-83.75,159.4,48.4,39.8,Invertivore,196.16,0.67,113.13,919.63,918.96,24.72,19.85,25.05,29.45,9.6,2.42,0.85,2.22,5.3,4.45,159.4,0,-83.75,1,0,1,75.65,83.75,159.4
Malabar Woodshrike,Tephrodornis_sylvicola,non-migrant,478.36,531.74,654.04,509.69,589.17,650.62,589.17,645.815,723.8965,57.43,56.6450000000001,-114.075,17.3,37.8,Invertivore,218.18,1.22,155.67,885.13,883.91,24.3,20.05,24.35,28.95,8.9,2.34,0.78,2.08,5.4,4.62,0,0,0,0,0,0,57.43,56.6450000000001,114.075
Common Woodshrike,Tephrodornis_pondicerianus,non-migrant,371.76,460.12,485.7,258.41,287.63,431.76,320.91,409.41,458.815,-172.49,121.78,50.71,17.3,20.2,Invertivore,143.85,0.09,73.16,781.92,781.83,25.78,20.75,25.85,30.45,9.7,2.98,1.04,2.77,5.97,4.93,0,0,0,0,0,0,172.49,121.78,50.71
Bar-winged Flycatcher-shrike,Hemipus_picatus,non-migrant,882.945,917.14,993.66,867.78,893.48,945.79,865.68,880.15,914.055,-23.66,-13.33,36.99,15.3,9,Invertivore,192.65,0.65,123.95,836.37,835.72,22.07,14.05,22.35,27.95,13.9,2.41,0.82,2.22,5.12,4.31,0,0,0,0,0,0,23.66,13.33,36.99
Common Iora,Aegithina_tiphia,non-migrant,640.59,641.43,674.11,640.59,640.59,640.59,637.28,640.59,640.59,-0.839999999999918,0,0.839999999999918,10,12,Invertivore,186.72,0.18,91.52,992.65,992.47,24.52,20.15,24.45,29.35,9.2,2.66,0.94,2.43,5.58,4.65,0,0,0,0,0,0,0.839999999999918,0,0.839999999999918
White-tailed Iora,Aegithina_nigrolutea,migrant,267.09,271.09,375.7,258.41,258.41,258.41,258.41,258.41,262.75,-12.68,0,12.68,12.4,11.8,Invertivore,62.21,0.15,45.66,223.96,223.81,27.9,23.95,27.85,32.35,8.4,2.16,1.35,1.99,4.04,2.69,12.68,-12.68,0,1,1,0,12.68,0,12.68
Spot-breasted Fantail,Rhipidura_albogularis,migrant,945.32,945.32,945.32,728.42,817.38,885.91,728.42,769.88,789.94,-127.94,-47.5,175.44,16.2,12.9,Invertivore,125.98,0,53.37,694.27,694.27,22.13,13.65,22.95,28.85,15.2,2.94,1.47,2.69,5.9,4.43,175.44,-127.94,0,1,1,0,127.94,47.5,175.44
White-browed Fantail,Rhipidura_aureola,non-migrant,833.54,944.94,956.47,703.65,822.38,934.61,774.165,892.14,920.43,-122.56,69.76,52.8000000000001,21.2,11.2,Invertivore,119.26,0.47,77.74,561.21,560.74,24.36,18.05,24.25,29.75,11.7,2.61,0.72,2.51,5.61,4.88,0,0,0,0,0,0,122.56,69.76,52.8000000000001
Black Drongo,Dicrurus_macrocercus,migrant,408.88,422.11,426.16,413.15,424.62,433.59,462,463.76,463.76,2.50999999999999,39.14,-41.65,27.8,48.3,Invertivore,160.93,0.09,73.98,922.97,922.88,25.43,20.55,25.55,29.95,9.4,2.79,0.97,2.56,5.78,4.81,-41.65,0,39.14,1,0,1,2.50999999999999,39.14,41.65
Ashy Drongo,Dicrurus_leucophaeus,migrant,681.11,728.42,759.86,599.39,681.11,789.8,803.94,808.29,808.29,-47.31,127.18,-79.87,31.5,37.6,Invertivore,215.4,0.22,119.87,1081.17,1080.95,23.6,17.55,23.45,28.85,11.3,2.43,0.83,2.2,5.52,4.69,-79.87,0,127.18,1,0,1,47.31,127.18,79.87
White-bellied Drongo,Dicrurus_caerulescens,non-migrant,640.59,681.11,703.65,590.25,617.25,640.59,640.59,640.59,640.59,-63.86,23.34,40.52,27,40,Invertivore,114.92,0.1,66.86,594.57,594.47,24.77,20.45,24.55,29.55,9.1,2.86,0.98,2.7,5.69,4.71,0,0,0,0,0,0,63.86,23.34,40.52
Bronzed Drongo,Dicrurus_aeneus,non-migrant,397.51,480.76,570.14,332.895,406.38,458.795,415.89,462,483.38,-74.38,55.62,18.76,29.4,26,Invertivore,213.76,0.89,134.01,953.77,952.88,24.8,20.25,25.15,29.35,9.1,2.26,0.8,2.06,4.94,4.13,0,0,0,0,0,0,74.38,55.62,18.76
Hair-crested Drongo,Dicrurus_hottentottus,non-migrant,517.145,647.09,819.325,443.195,572.785,835.65,460.12,612.84,834.825,-74.3050000000001,40.0550000000001,34.25,23.3,79.2,Invertivore,199.64,0.14,84.92,1125.23,1125.09,24.18,18.95,24.35,28.85,9.9,2.54,0.94,2.36,5.4,4.47,0,0,0,0,0,0,74.3050000000001,40.0550000000001,34.25
Greater Racket-tailed Drongo,Dicrurus_paradiseus,migrant,589.17,635.8225,674.657125,415.08,462.31,504.71,542.76,565.3,589.17,-173.5125,102.99,70.5225,21.8,85.8,Invertivore,224.93,1.1,154.26,961.45,960.35,24.51,20.15,24.75,28.95,8.8,2.28,0.82,2.04,5.2,4.39,0,-173.5125,102.99,0,1,1,173.5125,102.99,70.5225
Black-naped Monarch,Hypothymis_azurea,non-migrant,617.88,662.345,681.11,617.25,635.58,681.11,589.17,589.17,634.85,-26.765,-46.4100000000001,73.1750000000001,16,11.1,Invertivore,217.05,0.14,110.22,1104.28,1104.14,24.29,19.75,24.25,28.95,9.2,2.33,0.85,2.12,4.94,4.09,0,0,0,0,0,0,26.765,46.4100000000001,73.1750000000001
Indian Paradise-Flycatcher,Terpsiphone_paradisi,non-migrant,570.94,589.17,613.39,570.14,589.17,617.25,541.06,572.44,589.17,0,-16.7299999999999,16.7299999999999,20.1,19.2,Invertivore,184.32,0.1,88.44,983.96,983.86,24.77,19.55,24.95,29.45,9.9,2.59,0.85,2.38,5.45,4.59,0,0,0,0,0,0,0,16.7299999999999,16.7299999999999
Bay-backed Shrike,Lanius_vittatus,migrant,620.24,703.65,759.64,635.56,703.65,703.65,602.03,617.25,635.34,0,-86.4,86.4,23.8,20.8,Invertivore,92.73,0.07,55.95,389.45,389.38,24.87,20.25,24.75,30.15,9.9,2.95,0.88,2.66,6.5,5.62,0,0,-86.4,0,0,1,0,86.4,86.4
Long-tailed Shrike,Lanius_schach,migrant,1019.72,1059.18,1087.09,945.32,978.38,1057.97,848.97,860.6,893.225,-80.8000000000001,-117.78,198.58,20.3,51.5,Invertivore,174.02,0.03,94.59,847.73,847.7,22.14,14.75,22.25,28.35,13.6,2.72,1.03,2.52,5.63,4.59,198.58,0,-117.78,1,0,1,80.8000000000001,117.78,198.58
Rufous Treepie,Dendrocitta_vagabunda,migrant,318.03,370.925,391.09,269.47,291.94,318.03,339.2,375.38,390.455,-78.985,83.44,-4.45499999999998,15,100,Omnivore,185.29,0.53,105.21,874.06,873.53,25.42,20.65,25.75,29.65,9,2.53,0.86,2.31,5.68,4.82,0,0,83.44,0,0,1,78.985,83.44,4.45499999999998
White-bellied Treepie,Dendrocitta_leucogastra,migrant,830.97,859.06,876.03,677,760.86,819.525,880.44,885.49,894.795,-98.1999999999999,124.63,-26.4300000000001,13.5,99.2,Omnivore,214.73,2.08,167.06,813.81,811.73,23.53,19.65,23.15,28.45,8.8,2.66,0.84,2.36,6.03,5.19,-26.4300000000001,-98.1999999999999,124.63,1,1,1,98.1999999999999,124.63,26.4300000000001
